"product_id","color_id","size_id","stock_at_day_71","stock_replenishment_days_72","stock_replenishment_days_73","stock_replenishment_days_74","stock_replenishment_days_75","stock_replenishment_days_76","stock_replenishment_days_77"
151926,909958217,54666687,73,0,0,2,0,0,1
151926,909958217,111455099,16,0,0,0,0,0,0
151926,909958217,242364222,111,0,1,-1,1,0,0
151926,909958217,513017386,47,0,0,0,1,1,1
151926,909958217,820445075,71,0,1,-2,2,0,0
213413,271590995,3000471,119,0,1,0,1,0,8
213413,271590995,319419383,55,0,0,0,0,0,-1
213413,271590995,422108434,45,-1,6,0,0,0,3
213413,271590995,558685710,50,0,0,0,1,1,0
213413,271590995,600575761,121,1,5,0,2,1,10
213413,271590995,674701524,73,0,7,-1,1,1,11
213413,271590995,941322277,132,1,4,0,1,-1,21
310130,78467031,7026791,42,0,0,1,0,0,0
310130,78467031,8015276,80,0,1,1,0,0,0
310130,78467031,452052101,22,0,0,0,0,0,0
310130,78467031,541898038,0,0,0,0,0,1,-1
310130,78467031,558685710,80,0,0,0,0,0,0
310130,78467031,560206786,55,0,0,0,0,0,0
310130,78467031,843639151,163,0,0,0,0,0,0
455200,649181039,111455099,6,0,1,0,0,0,0
455200,649181039,513017386,21,0,0,0,-1,1,1
455200,649181039,820445075,16,0,0,0,-1,1,0
571044,665237982,111455099,7,0,2,0,0,0,0
571044,665237982,242364222,5,0,4,2,-1,1,0
571044,665237982,513017386,64,1,0,1,0,0,0
571044,665237982,820445075,116,1,0,0,2,0,0
571044,735224030,242364222,9,1,1,1,0,1,1
571044,735224030,513017386,1,0,0,0,0,0,0
571044,735224030,820445075,6,0,0,0,0,0,0
658552,665237982,54666687,137,0,5,1,1,2,1
658552,665237982,111455099,49,3,4,1,0,0,3
658552,665237982,242364222,221,1,6,3,-1,8,6
658552,665237982,513017386,126,2,5,2,-1,3,4
658552,665237982,820445075,190,1,4,2,2,2,6
671985,744479403,54666687,94,0,0,2,0,1,0
671985,744479403,111455099,38,0,0,0,0,1,1
671985,744479403,242364222,139,0,1,0,0,1,0
671985,744479403,452052101,11,0,0,0,0,0,2
671985,744479403,513017386,59,0,0,1,0,1,2
671985,744479403,820445075,104,2,0,0,1,0,1
759150,735224030,242364222,0,0,1,0,0,0,0
836635,478313433,111455099,19,11,1,-1,1,11,6
836635,478313433,242364222,19,28,1,0,0,15,5
836635,478313433,452052101,2,4,0,-1,1,3,3
836635,478313433,513017386,27,9,12,-3,3,20,8
